2.5%GOLDBONDS2028SR-III       ,SGBJUN28  ,GB,N,0007258.25,0007333.00,0007333.00,0007260.02,0007289.99,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.5%GOLDBONDS2028SR-VIII      ,SGBN28VIII,GB,N,0007323.23,0007276.00,0007390.00,0007275.00,0007346.37,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.5%GOLDBONDS2029SR-I         ,SGBMAY29I ,GB,N,0007275.10,0007305.00,0007315.00,0007281.01,0007295.78,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.5%GOLDBONDS2029SR-II        ,SGBJUN29II,GB,N,0007264.82,0007300.00,0007300.00,0007266.10,0007295.00,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.5%GOLDBONDS2029SR-III       ,SGBJU29III,GB,N,0007272.50,0007273.00,0007297.96,0007260.00,0007296.12,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.5%GOLDBONDS2029SR-VI        ,SGBSEP29VI,GB,N,0007276.72,0007422.30,0007422.30,0007255.00,0007269.46,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.5%GOLDBONDS2029SR-VII       ,SGBNV29VII,GB,N,0007278.00,0007278.00,0007350.00,0007240.00,0007306.11,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50% GOLDBONDS2024 TR-VI     ,SGBNOV24  ,GB,N,0007325.00,0007325.00,0007330.00,0007300.00,0007325.43,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50% GOLDBONDS2025SR-III     ,SGBOCT25  ,GB,N,0007349.00,0007349.00,0007349.00,0007224.11,0007349.00,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50% GOLDBONDS2025SR-IV      ,SGBOCT25IV,GB,N,0007337.00,0007329.00,0007400.00,0007178.01,0007265.00,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50% GOLDBONDS2025SR-VI      ,SGBNOV25VI,GB,N,0007300.00,0007300.00,0007300.00,0007300.00,0007300.00,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS 2025TR-VII     ,SGBMAR25  ,GB,N,0007273.90,0007281.01,0007500.00,0007274.00,0007381.60,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2025 SR-XII     ,SGBDEC2512,GB,N,0007211.00,0007488.00,0007488.00,0007391.00,0007391.00,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2025SR-VIII     ,SGBNOV258 ,GB,N,0007300.00,0007350.00,0007350.00,0007300.00,0007300.00,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2025SR-XIII     ,SGBDEC2513,GB,N,0007300.00,0007300.00,0007300.00,0007300.00,0007300.00,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2026SR-I        ,SGBMAY26  ,GB,N,0007324.91,0007324.50,0007398.00,0007324.50,0007324.50,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2026SR-II       ,SGBOCT26  ,GB,N,0007201.00,0007381.02,0007381.02,0007381.00,0007381.00,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2026SR-III      ,SGBNOV26  ,GB,N,0007200.01,0007203.00,0007350.00,0007203.00,0007350.00,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2026SR-IV       ,SGBDEC26  ,GB,N,0007349.00,0007348.99,0007349.00,0007204.05,0007348.99,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2026SR-XIV      ,SGBJAN26  ,GB,N,0007436.65,0007436.65,0007488.00,0007436.65,0007487.00,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2027SR-I        ,SGBJUN27  ,GB,N,0007290.00,0007300.00,0007488.00,0007300.00,0007488.00,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2027SR-II       ,SGBJUL27  ,GB,N,0007245.00,0007350.00,0007350.00,0007301.15,0007301.15,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2027SR-III      ,SGBAUG27  ,GB,N,0007464.87,0007845.00,0007845.00,0007320.00,0007579.88,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2027SR-IV       ,SGBSEP27  ,GB,N,0007375.00,0007369.90,0007369.90,0007295.00,0007295.00,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2027SR-V        ,SGBJAN27  ,GB,N,0007399.00,0007399.00,0007399.00,0007399.00,0007399.00,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2027SR-V        ,SGBOCT27  ,GB,N,0007300.00,0007320.00,0007320.00,0007299.99,0007299.99,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2027SR-VI       ,SGBFEB27  ,GB,N,0007400.00,0007400.00,0007400.00,0007400.00,0007400.00,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2027SR-VI       ,SGBOCT27VI,GB,N,0007302.65,0007300.00,0007300.00,0007300.00,0007300.00,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2027SR-VII      ,SGBDC27VII,GB,N,0007355.00,0007355.00,0007450.00,0007355.00,0007450.00,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2028SR-I        ,SGBAPR28I ,GB,N,0007366.68,0007450.00,0007450.00,0007350.00,0007375.80,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2028SR-II       ,SGBMAY28  ,GB,N,0007267.00,0007305.00,0007305.00,0007275.10,0007300.72,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2028SR-IV       ,SGBJUL28IV,GB,N,0007234.07,0007350.00,0007350.00,0007252.01,0007279.33,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2028SR-V        ,SGBAUG28V ,GB,N,0007257.92,0007260.01,0007349.00,0007260.01,0007303.35,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2028SR-VI       ,SGBSEP28VI,GB,N,0007281.72,0007300.00,0007300.00,0007250.00,0007299.35,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2028SR-VII      ,SGBOC28VII,GB,N,0007308.04,0007279.80,0007279.80,0007230.02,0007274.91,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2028SR-X        ,SGBMAR28X ,GB,N,0007251.50,0007316.00,0007316.00,0007251.50,0007316.00,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
2.50%GOLDBONDS2029SR-IV       ,SGBJUL29IV,GB,N,0007255.01,0007256.10,0007340.00,0007255.01,0007282.51,    ,              ,                  ,0000000.00,0000000.00,19-APR-2024,        
