Symbol,Series,Name,Band,Remarks
CMRSL,SM,Cyber Media Research & Services Limited,10,"-"
DIGIKORE,SM,Digikore Studios Limited,10,"-"
GIRRESORTS,IT,GIR Natureview Resorts Limited,10,"-"
GOLDSTAR,SM,Goldstar Power Limited,10,"-"
GRAPHISAD,SM,Graphisads Limited,10,"-"
HIGREEN,SM,Hi-Green Carbon Limited,10,"-"
INNOVANA,SM,Innovana Thinklabs Limited,10,"-"
ITALIANE,SM,Italian Edibles Limited,10,"-"
KANDARP,SM,Kandarp Digi Smart Bpo Limited,10,"-"
KEL,SM,Kundan Edifice Limited,10,"-"
KHFM,SM,Khfm Hospitality And Facility Management Services Limited,10,"-"
LRRPL,SM,Lead Reclaim And Rubber Products Limited,10,"-"
MOS,SM,Mos Utility Limited,10,"-"
PARTYCRUS,SM,Party Cruisers Limited,10,"-"
RILINFRA,SM,Rachana Infrastructure Limited,10,"-"
SABAR,SM,Sabar Flex India Limited,10,"-"
SHEETAL,SM,Sheetal Universal Limited,10,"-"
SJLOGISTIC,SM,S J Logistics (India) Limited,10,"-"
SOLEX,SM,Solex Energy Limited,10,"-"
SONUINFRA,SM,Sonu Infratech Limited,10,"-"
SUPREMEPWR,SM,Supreme Power Equipment Limited,10,"-"
TCL,SM,Thaai Casting Limited,10,"-"
VERA,SM,Vera Synthetic Limited,10,"-"
VIAZ,SM,Viaz Tyres Limited,10,"-"
YUDIZ,SM,Yudiz Solutions Limited,10,"-"
ZEAL,SM,Zeal Global Services Limited,10,"-"
AATMAJ,SM,Aatmaj Healthcare Limited,20,"-"
ABNINT,IT,A B N Intercorp Limited,20,"-"
ACCENTMIC,SM,Accent Microcell Limited,20,"-"
ACSAL,SM,Arvind and Company Shipping Agencies Limited,20,"-"
AGARWALFT,SM,Agarwal Float Glass India Limited,20,"-"
ALLETEC,SM,All E Technologies Limited,20,"-"
ALPEXSOLAR,SM,Alpex Solar Limited,20,"-"
AMEYA,SM,Ameya Precision Engineers Limited,20,"-"
AMIABLE,SM,Amiable Logistics (India) Limited,20,"-"
ANNAPURNA,SM,Annapurna Swadisht Limited,20,"-"
ARABIAN,SM,Arabian Petroleum Limited,20,"-"
ARIHANTACA,SM,Arihant Academy Limited,20,"-"
ARISTO,SM,Aristo Bio Tech And Lifescience Limited,20,"-"
ATMASTCO,SM,Atmastco Limited,20,"-"
BABAFP,SM,Baba Food Processing (India) Limited,20,"-"
BAHETI,SM,Baheti Recycling Industries Limited,20,"-"
BAWEJA,SM,Baweja Studios Limited,20,"-"
BETA,SM,Beta Drugs Limited,20,"-"
BEWLTD,SM,BEW Engineering Limited,20,"-"
BHALCHANDR,IT,Bhalchandram Clothing Limited,20,"-"
BMETRICS,SM,Bombay Metrics Supply Chain Limited,20,"-"
CANARYS,SM,Canarys Automations Limited,20,"-"
CBAZAAR,SM,Net Avenue Technologies Limited,20,"-"
CELLPOINT,SM,Cell Point (India) Limited,20,"-"
CHAVDA,SM,Chavda Infra Limited,20,"-"
CLSL,SM,Crop Life Science Limited,20,"-"
COMMITTED,SM,Committed Cargo Care Limited,20,"-"
COOLCAPS,SM,Cool Caps Industries Limited,20,"-"
CPS,SM,C P S Shapers Limited,20,"-"
DEEM,SM,Deem Roll Tech Limited,20,"-"
DELAPLEX,SM,Delaplex Limited,20,"-"
DENEERS,SM,De Neers Tools Limited,20,"-"
DENTALKART,SM,Vasa Denticity Limited,20,"-"
DKEGL,SM,D.K. Enterprises Global Limited,20,"-"
DOLLEX,SM,Dollex Agrotech Limited,20,"-"
DRONE,SM,Drone Destination Limited,20,"-"
DUCOL,SM,Ducol Organics And Colours Limited,20,"-"
DYNAMIC,SM,Dynamic Services & Security Limited,20,"-"
EFACTOR,SM,E Factor Experiences Limited,20,"-"
EFORCE,SM,Electro Force (India) Limited,20,"-"
EMKAYTOOLS,SM,Emkay Taps and Cutting Tools Limited,20,"-"
ESFL,SM,Essen Speciality Films Limited,20,"-"
EUROBOND,SM,Euro Panel Products Limited,20,"-"
FIDEL,SM,Fidel Softech Limited,20,"-"
FOCE,SM,Foce India Limited,20,"-"
FONEBOX,SM,Fonebox Retail Limited,20,"-"
FROG,SM,Frog Cellsat Limited,20,"-"
GLOBALPET,SM,Global Pet Industries Limited,20,"-"
GOYALSALT,SM,Goyal Salt Limited,20,"-"
GREENCHEF,SM,Greenchef Appliances Limited,20,"-"
HOLMARC,SM,Holmarc Opto-Mechatronics Limited,20,"-"
HOMESFY,SM,Homesfy Realty Limited,20,"-"
HRHNEXT,SM,HRH Next Services Limited,20,"-"
IBLFL,SM,IBL Finance Limited,20,"-"
INDIFRA,SM,Indifra Limited,20,"-"
INFINIUM,SM,Infinium Pharmachem Limited,20,"-"
INFOLLION,SM,INFOLLION RESEARCH SERVICES LIMITED,20,"-"
INM,SM,Interiors & More Limited,20,"-"
INSPIRE,SM,Inspire Films Limited,20,"-"
IPSL,SM,Integrated Personnel Services Limited,20,"-"
JFLLIFE,SM,Jfl Life Sciences Limited,20,"-"
JIWANRAM,SM,Jiwanram Sheoduttrai Industries Limited,20,"-"
KLL,SM,Kaushalya Logistics Limited,20,"-"
KNAGRI,SM,Kn Agri Resources Limited,20,"-"
KONSTELEC,SM,Konstelec Engineers Limited,20,"-"
KONTOR,SM,Kontor Space Limited,20,"-"
KORE,SM,Jay Jalaram Technologies Limited,20,"-"
KOTYARK,SM,Kotyark Industries Limited,20,"-"
KRISHCA,SM,Krishca Strapping Solutions Limited,20,"-"
KRISHNADEF,SM,Krishna Defence And Allied Industries Limited,20,"-"
KTL,SM,Kalahridhaan Trendz Limited,20,"-"
LAWSIKHO,SM,Addictive Learning Technology Limited,20,"-"
LEMERITE,SM,Le Merite Exports Limited,20,"-"
MADHAVBAUG,SM,Vaidya Sane Ayurved Laboratories Limited,20,"-"
MADHUSUDAN,SM,Madhusudan Masala Limited,20,"-"
MAGSON,SM,Magson Retail And Distribution Limited,20,"-"
MAHICKRA,SM,Mahickra Chemicals Limited,20,"-"
MAL,SM,Mangalam Alloys Limited,20,"-"
MARCO,SM,Marco Cables & Conductors Limited,20,"-"
MARINETRAN,SM,Marinetrans India Limited,20,"-"
MASTER,SM,Master Components Limited,20,"-"
MAXPOSURE,SM,Maxposure Limited,20,"-"
MEGATHERM,SM,Megatherm Induction Limited,20,"-"
MHHL,SM,Mohini Health & Hygiene Limited,20,"-"
MICROPRO,SM,Micropro Software Solutions Limited,20,"-"
MOXSH,SM,Moxsh Overseas Educon Limited,20,"-"
MVKAGRO,SM,M.V.K. Agro Food Product Limited,20,"-"
MWL,SM,Mangalam Worldwide Limited,20,"-"
NEWJAISA,SM,Newjaisa Technologies Limited,20,"-"
NIDAN,SM,Nidan Laboratories And Healthcare Limited,20,"-"
OLIL,SM,Oneclick Logistics India Limited,20,"-"
ORIANA,SM,Oriana Power Limited,20,"-"
PARAGON,SM,Paragon Fine and Speciality Chemical Limited,20,"-"
PASHUPATI,SM,Pashupati Cotspin Limited,20,"-"
PATTECH,SM,Pattech Fitwell Tube Components Limited,20,"-"
PENTAGON,SM,Pentagon Rubber Limited,20,"-"
PHANTOMFX,SM,Phantom Digital Effects Limited,20,"-"
PLADAINFO,SM,Plada Infotech Services Limited,20,"-"
POLYSIL,SM,Polysil Irrigation Systems Limited,20,"-"
PRECISION,SM,Precision Metaliks Limited,20,"-"
PRESSTONIC,SM,Presstonic Engineering Limited,20,"-"
PROPEQUITY,SM,P. E. Analytics Limited,20,"-"
PROV,SM,Proventus Agrocom Limited,20,"-"
PURVFLEXI,SM,Purv Flexipack Limited,20,"-"
QUICKTOUCH,SM,Quicktouch Technologies Limited,20,"-"
RCDL,SM,Rajgor Castor Derivatives Limited,20,"-"
REMUS,SM,Remus Pharmaceuticals Limited,20,"-"
RITEZONE,SM,Rite Zone Chemcon India Limited,20,"-"
ROXHITECH,SM,Rox Hi Tech Limited,20,"-"
SAAKSHI,SM,Saakshi Medtech and Panels Limited,20,"-"
SADHAV,SM,Sadhav Shipping Limited,20,"-"
SAHAJ,SM,Sahaj Fashions Limited,20,"-"
SAIFL,SM,Sameera Agro And Infra Limited,20,"-"
SANGANI,SM,Sangani Hospitals Limited,20,"-"
SAROJA,SM,Saroja Pharma Industries India Limited,20,"-"
SCML,SM,Sharp Chucks and Machines Limited,20,"-"
SERVICE,SM,Service Care Limited,20,"-"
SHANTHALA,SM,Shanthala FMCG Products Limited,20,"-"
SHERA,SM,Shera Energy Limited,20,"-"
SHREEKARNI,SM,SHREE KARNI FABCOM LIMITED,20,"-"
SHREEOSFM,SM,Shree OSFM E-Mobility Limited,20,"-"
SHRITECH,SM,Shri Techtex Limited,20,"-"
SHUBHLAXMI,SM,Shubhlaxmi Jewel Art Limited,20,"-"
SKP,SM,Skp Bearing Industries Limited,20,"-"
SONAMAC,SM,Sona Machinery Limited,20,"-"
SOTAC,SM,Sotac Pharmaceuticals Limited,20,"-"
SPECTSTM,SM,Spectrum Talent Management Limited,20,"-"
SRIVASAVI,SM,Srivasavi Adhesive Tapes Limited,20,"-"
SUNREST,SM,Sunrest Lifescience Limited,20,"-"
SWASTIK,SM,Swastik Pipe Limited,20,"-"
SYNOPTICS,SM,Synoptics Technologies Limited,20,"-"
SYSTANGO,SM,Systango Technologies Limited,20,"-"
TARACHAND,SM,Tara Chand InfraLogistic Solutions Limited,20,"-"
TRANSTEEL,SM,Transteel Seating Technologies Limited,20,"-"
TRIDHYA,SM,Tridhya Tech Limited,20,"-"
UCL,SM,Ushanti Colour Chem Limited,20,"-"
UMA,SM,Uma Converter Limited,20,"-"
UNIHEALTH,SM,Unihealth Consultancy Limited,20,"-"
USASEEDS,SM,Upsurge Seeds Of Agriculture Limited,20,"-"
VILINBIO,SM,Vilin Bio Med Limited,20,"-"
VINSYS,SM,Vinsys It Services India Limited,20,"-"
VINYAS,SM,Vinyas Innovative Technologies Limited,20,"-"
VITAL,SM,Vital Chemtech Limited,20,"-"
VR,SM,V R Infraspace Limited,20,"-"
WTICAB,SM,Wise Travel India Limited,20,"-"
YCCL,SM,Yasons Chemex Care Limited,20,"-"
ZENITHDRUG,SM,Zenith Drugs Limited,20,"-"
