Symbol,Series,Name,Band,Remarks
CMMIPL,ST,CMM Infraprojects Limited,2,"-"
ABCOTS,SM,A B Cotspin India Limited,5,"-"
ABINFRA,SM,A B Infrabuild Limited,5,"-"
ACCORD,SM,Accord Synergy Limited,5,"-"
AGNI,ST,Agni Green Power Limited,5,"-"
AGUL,ST,A G Universal Limited,5,"-"
AHIMSA,ST,Ahimsa Industries Limited,5,"-"
AILIMITED,SM,Abhishek Integrations Limited,5,"-"
AISL,SM,ANI Integrated Services Limited,5,"-"
AKANKSHA,SM,Akanksha Power and Infrastructure Limited,5,"-"
AMBANIORG,SM,Ambani Organics Limited,5,"-"
APS,SM,Australian Premium Solar (India) Limited,5,"-"
ARHAM,SM,Arham Technologies Limited,5,"-"
ASCOM,ST,Ascom Leasing & Investments Limited,5,"-"
ASLIND,ST,ASL Industries Limited,5,"-"
AUROIMPEX,SM,Auro Impex & Chemicals Limited,5,"-"
AVPINFRA,ST,AVP Infracon Limited,5,"-"
AVSL,ST,AVSL Industries Limited,5,"-"
BRIGHT,SM,Bright Solar Limited,5,"-"
CLOUD,SM,Varanium Cloud Limited,5,"-"
CMNL,SM,Chaman Metallics Limited,5,"-"
CONTI,SM,Continental Seeds and Chemicals Limited,5,"-"
CRAYONS,SM,Crayons Advertising Limited,5,"-"
DESTINY,SM,Destiny Logistics & Infra Limited,5,"-"
DHTL,SM,Docmode Health Technologies Limited,5,"-"
DRL,ST,Dhanuka Realty Limited,5,"-"
DRSDILIP,ST,DRS DILIP ROADLINES LIMITED,5,"-"
DUGLOBAL,SM,DUDIGITAL GLOBAL LIMITED,5,"-"
ENFUSE,ST,Enfuse Solutions Limited,5,"-"
ENSER,ST,Enser Communications Limited,5,"-"
ESCONET,SM,Esconet Technologies Limited,5,"-"
FELIX,ST,Felix Industries Limited,5,"-"
GICL,SM,Globe International Carriers Limited,5,"-"
GIRIRAJ,ST,Giriraj Civil Developers Limited,5,"-"
GOLDKART,ST,Goldkart Jewels Limited,5,"-"
GRCL,SM,Gayatri Rubbers And Chemicals Limited,5,"-"
GRETEX,ST,Gretex Industries Limited,5,"-"
GSTL,SM,Globesecure Technologies Limited,5,"-"
INNOVATIVE,ST,Innovative Tyres and Tubes Limited,5,"-"
ISHAN,ST,Ishan International Limited,5,"-"
JAINAM,SM,Jainam Ferro Alloys (I) Limited,5,"-"
JAKHARIA,ST,JAKHARIA FABRIC LIMITED,5,"-"
JALAN,SM,Jalan Transolutions (India) Limited,5,"-"
JETKNIT,SM,Jet Knitwears Limited,5,"-"
JSLL,SM,Jeena Sikho Lifecare Limited,5,"-"
KARNIKA,SM,Karnika Industries Limited,5,"-"
KCEIL,SM,Kay Cee Energy & Infra Limited,5,"-"
KCK,ST,Kck Industries Limited,5,"-"
KDL,SM,Kore Digital Limited,5,"-"
KKVAPOW,SM,KKV Agro Powers Limited,5,"-"
KODYTECH,SM,Kody Technolab Limited,5,"-"
KRISHIVAL,SM,Krishival Foods Limited,5,"-"
LLOYDS,SM,Lloyds Luxuries Limited,5,"-"
MAITREYA,SM,Maitreya Medicare Limited,5,"-"
MAKS,ST,Maks Energy Solutions India Limited,5,"-"
MANAV,SM,Manav Infra Projects Limited,5,"-"
MCON,SM,Mcon Rasayan India Limited,5,"-"
MDL,ST,Marvel Decor Limited,5,"-"
MEGAFLEX,ST,Mega Flex Plastics Limited,5,"-"
MILTON,SM,Milton Industries Limited,5,"-"
MINDPOOL,ST,Mindpool Technologies Limited,5,"-"
MONOPHARMA,SM,Mono Pharmacare Limited,5,"-"
MPTODAY,SM,Madhya Pradesh Today Media Limited,5,"-"
NIRMAN,SM,Nirman Agri Genetics Limited,5,"-"
NPST,SM,Network People Services Technologies Limited,5,"-"
OMFURN,SM,Omfurn India Limited,5,"-"
ONDOOR,SM,On Door Concepts Limited,5,"-"
OWAIS,SM,Owais Metal And Mineral Processing Limited,5,"-"
PARIN,SM,Parin Furniture Limited,5,"-"
PENTAGOLD,SZ,PENTA GOLD LIMITED,5,"GSM STAGE - 0"
PERFECT,ST,Perfect Infraengineers Limited,5,"-"
PRAMARA,SM,Pramara Promotions Limited,5,"-"
PRATHAM,ST,Pratham EPC Projects Limited,5,"-"
PRITIKA,SM,Pritika Engineering Components Limited,5,"-"
PROLIFE,SM,Prolife Industries Limited,5,"-"
PULZ,SM,Pulz Electronics Limited,5,"-"
QFIL,SM,Quality Foils (India) Limited,5,"-"
QMSMEDI,SM,Qms Medical Allied Services Limited,5,"-"
QUADPRO,ST,Quadpro Ites Limited,5,"-"
RBMINFRA,ST,Rbm Infracon Limited,5,"-"
RELIABLE,SM,Reliable Data Services Limited,5,"-"
REXPIPES,SM,Rex Pipes And Cables Industries Limited,5,"-"
RICHA,SM,Richa Info Systems Limited,5,"-"
RMDRIP,SM,R M Drip and Sprinklers Systems Limited,5,"-"
ROCKINGDCE,SM,Rockingdeals Circular Economy Limited,5,"-"
SAHANA,SM,Sahana System Limited,5,"-"
SARTELE,SM,Sar Televenture Limited,5,"-"
SECL,SM,Salasar Exteriors And Contour Limited,5,"-"
SEL,ST,Sungarner Energies Limited,5,"-"
SHAIVAL,ST,Shaival Reality Limited,5,"-"
SHIGAN,SM,Shigan Quantum Technologies Limited,5,"-"
SHIVAUM,ST,Shiv Aum Steels Limited,5,"-"
SIDDHIKA,SM,Siddhika Coatings Limited,5,"-"
SIGNORIA,ST,Signoria Creation Limited,5,"-"
SMVD,SM,SMVD Poly Pack Limited,5,"-"
SPECTRUM,SM,Spectrum Electrical Industries Limited,5,"-"
SPRL,ST,Sp Refractories Limited,5,"-"
SSFL,SM,Srivari Spices And Foods Limited,5,"-"
SSINFRA,SZ,S.S. INFRASTRUCTURE DEVELOPMENT CONSULTANTS LIMITED,5,"GSM STAGE - 0"
SURANI,SM,Surani Steel Tubes Limited,5,"-"
SWARAJ,SM,Swaraj Suiting Limited,5,"-"
TAPIFRUIT,SM,Tapi Fruit Processing Limited,5,"-"
TECHLABS,SM,Trident Techlabs Limited,5,"-"
TIMESCAN,SM,Timescan Logistics (India) Limited,5,"-"
TIRUPATI,SM,Shree Tirupati Balajee FIBC Limited,5,"-"
TRANSWIND,ST,Transwind Infrastructures Limited,5,"-"
URBAN,SM,Urban Enviro Waste Management Limited,5,"-"
UWCSL,SM,Ultra Wiring Connectivity System Limited,5,"-"
VASA,ST,Vasa Retail and Overseas Ltd,5,"-"
VEEKAYEM,ST,Veekayem Fashion And Apparels Limited,5,"-"
VELS,SM,Vels Film International Limited,5,"-"
VERTEXPLUS,SM,Vertexplus Technologies Limited,5,"-"
VISHNUINFR,SM,Vishnusurya Projects and Infra Limited,5,"-"
VISHWAS,ST,VISHWAS AGRI SEEDS LIMITED,5,"-"
VIVIANA,ST,Viviana Power Tech Limited,5,"-"
VIVO,SM,Vivo Collaboration Solutions Limited,5,"-"
VMARCIND,SM,V Marc India Limited,5,"-"
VSCL,SM,Vadivarhe Speciality Chemicals Limited,5,"-"
WALPAR,ST,Walpar Nutritions Limited,5,"-"
WOMANCART,SM,Womancart Limited,5,"-"
3RDROCK,IT,3rd Rock Multimedia Limited,10,"-"
ANLON,SM,Anlon Technology Solutions Limited,10,"-"
AURDIS,SM,Aurangabad Distillery Limited,10,"-"
BASILIC,SM,Basilic Fly Studio Limited,10,"-"
BDR,IT,BDR Buildcon Limited,10,"-"
CADSYS,SM,Cadsys (India) Limited,10,"-"
CELLECOR,SM,Cellecor Gadgets Limited,10,"-"
