Symbol,Series,Name,Band,Remarks
CMMIPL,ST,CMM Infraprojects Limited,2,"-"
ABCOTS,SM,A B Cotspin India Limited,5,"-"
ACCORD,SM,Accord Synergy Limited,5,"-"
ACSAL,SM,Arvind and Company Shipping Agencies Limited,5,"-"
AGARWALFT,ST,Agarwal Float Glass India Limited,5,"-"
AGNI,SM,Agni Green Power Limited,5,"-"
AGUL,SM,A G Universal Limited,5,"-"
AHIMSA,ST,Ahimsa Industries Limited,5,"-"
AILIMITED,ST,Abhishek Integrations Limited,5,"-"
AIMTRON,ST,Aimtron Electronics Limited,5,"-"
AISL,SM,ANI Integrated Services Limited,5,"-"
AKANKSHA,ST,Akanksha Power and Infrastructure Limited,5,"-"
ALPEXSOLAR,ST,Alpex Solar Limited,5,"-"
ALUWIND,ST,Aluwind Architectural Limited,5,"-"
AMBANIORGO,SM,AMBANI ORGOCHEM LIMITED,5,"-"
AMEYA,SM,Ameya Precision Engineers Limited,5,"-"
ANLON,ST,Anlon Technology Solutions Limited,5,"-"
APRAMEYA,ST,Aprameya Engineering Limited,5,"-"
APS,ST,Australian Premium Solar (India) Limited,5,"-"
ASCOM,ST,Ascom Leasing & Investments Limited,5,"-"
ASHALOG,ST,ASHAPURA LOGISTICS LIMITED,5,"-"
ASLIND,SM,ASL Industries Limited,5,"-"
ATMASTCO,ST,Atmastco Limited,5,"-"
AVSL,ST,AVSL Industries Limited,5,"-"
BASILIC,ST,Basilic Fly Studio Limited,5,"-"
BIRDYS,ST,Grill Splendour Services Limited,5,"-"
BLUEPEBBLE,SM,Blue Pebble Limited,5,"-"
BRIGHT,SZ,Bright Solar Limited,5,"-"
BULKCORP,ST,BULKCORP INTERNATIONAL LIMITED,5,"-"
CADSYS,SM,Cadsys (India) Limited,5,"-"
CANARYS,ST,Canarys Automations Limited,5,"-"
CHETANA,ST,Chetana Education Limited,5,"-"
CLOUD,ST,Varanium Cloud Limited,5,"-"
CMRSL,SM,Cyber Media Research & Services Limited,5,"-"
CONTI,ST,Continental Seeds and Chemicals Limited,5,"-"
CPS,SM,C P S Shapers Limited,5,"-"
DCG,ST,DCG Cables & Wires Limited,5,"-"
DESTINY,SM,Destiny Logistics & Infra Limited,5,"-"
DHTL,SM,Docmode Health Technologies Limited,5,"-"
DIGIKORE,ST,Digikore Studios Limited,5,"-"
DRONE,ST,Drone Destination Limited,5,"-"
DRSCARGO,ST,DRS Cargo Movers Limited,5,"-"
DUCOL,ST,Ducol Organics And Colours Limited,5,"-"
DYNAMIC,SM,Dynamic Services & Security Limited,5,"-"
EFFWA,SM,Effwa Infra & Research Limited,5,"-"
ENFUSE,ST,Enfuse Solutions Limited,5,"-"
ENSER,SM,Enser Communications Limited,5,"-"
ESCONET,ST,Esconet Technologies Limited,5,"-"
ESPRIT,ST,Esprit Stones Limited,5,"-"
GICL,SM,Globe International Carriers Limited,5,"-"
GOLDKART,ST,Goldkart Jewels Limited,5,"-"
GRCL,SM,Gayatri Rubbers And Chemicals Limited,5,"-"
GRETEX,ST,Gretex Industries Limited,5,"-"
GSMFOILS,ST,GSM Foils Limited,5,"-"
GSTL,SM,Globesecure Technologies Limited,5,"-"
HOMESFY,SM,Homesfy Realty Limited,5,"-"
INFOLLION,ST,INFOLLION RESEARCH SERVICES LIMITED,5,"-"
JAKHARIA,ST,JAKHARIA FABRIC LIMITED,5,"-"
JETKNIT,ST,Jet Knitwears Limited,5,"-"
JFLLIFE,ST,Jfl Life Sciences Limited,5,"-"
K2INFRA,ST,K2 Infragen Limited,5,"-"
KCEIL,ST,Kay Cee Energy & Infra Limited,5,"-"
KCK,SM,Kck Industries Limited,5,"-"
KDL,ST,Kore Digital Limited,5,"-"
KKVAPOW,SM,KKV Agro Powers Limited,5,"-"
KNAGRI,ST,Kn Agri Resources Limited,5,"-"
KODYTECH,SM,Kody Technolab Limited,5,"-"
KONTOR,SM,Kontor Space Limited,5,"-"
KORE,ST,Jay Jalaram Technologies Limited,5,"-"
KRISHCA,ST,Krishca Strapping Solutions Limited,5,"-"
KRISHIVAL,SM,Krishival Foods Limited,5,"-"
KRISHNADEF,ST,Krishna Defence And Allied Industries Limited,5,"-"
LEMERITE,SM,Le Merite Exports Limited,5,"-"
MAITREYA,SM,Maitreya Medicare Limited,5,"-"
MAKS,ST,Maks Energy Solutions India Limited,5,"-"
MANDEEP,ST,Mandeep Auto Industries Limited,5,"-"
MASTER,ST,Master Components Limited,5,"-"
MCON,ST,Mcon Rasayan India Limited,5,"-"
MEGAFLEX,SM,Mega Flex Plastics Limited,5,"-"
MEGATHERM,ST,Megatherm Induction Limited,5,"-"
MIEL,ST,Manglam Infra & Engineering Limited,5,"-"
MILTON,SM,Milton Industries Limited,5,"-"
MINDPOOL,ST,Mindpool Technologies Limited,5,"-"
MONOPHARMA,SM,Mono Pharmacare Limited,5,"-"
MOXSH,ST,Moxsh Overseas Educon Limited,5,"-"
MPTODAY,SM,Madhya Pradesh Today Media Limited,5,"-"
NEPHROCARE,SM,Nephro Care India Limited,5,"-"
NIRMAN,ST,Nirman Agri Genetics Limited,5,"-"
NPST,SM,Network People Services Technologies Limited,5,"-"
OLIL,ST,Oneclick Logistics India Limited,5,"-"
OMFURN,SM,OMFURN INDIA LIMITED,5,"-"
ORIANA,SM,Oriana Power Limited,5,"-"
OWAIS,SM,Owais Metal And Mineral Processing Limited,5,"-"
PARIN,SM,Parin Furniture Limited,5,"-"
PASHUPATI,SM,Pashupati Cotspin Limited,5,"-"
PATTECH,SM,Pattech Fitwell Tube Components Limited,5,"-"
PERFECT,ST,Perfect Infraengineers Limited,5,"-"
PRAMARA,SM,Pramara Promotions Limited,5,"-"
PRATHAM,SM,Pratham EPC Projects Limited,5,"-"
PRITIKA,SM,Pritika Engineering Components Limited,5,"-"
PROLIFE,SM,Prolife Industries Limited,5,"-"
QFIL,SM,Quality Foils (India) Limited,5,"-"
QUADPRO,SM,Quadpro Ites Limited,5,"-"
RAJINDLTD,ST,RAJPUTANA INDUSTRIES LIMITED,5,"-"
RBMINFRA,SM,Rbm Infracon Limited,5,"-"
REFRACTORY,ST,Refractory Shapes Limited,5,"-"
REXPIPES,SM,Rex Pipes And Cables Industries Limited,5,"-"
RICHA,SM,Richa Info Systems Limited,5,"-"
RILINFRA,ST,Rachana Infrastructure Limited,5,"-"
RNFI,ST,RNFI Services Limited,5,"-"
RULKA,ST,Rulka Electricals Limited,5,"-"
SAAKSHI,ST,Saakshi Medtech and Panels Limited,5,"-"
SATECH,ST,S A Tech Software India Limited,5,"-"
SECL,SM,Salasar Exteriors And Contour Limited,5,"-"
SEL,SM,Sungarner Energies Limited,5,"-"
SHAIVAL,ST,Shaival Reality Limited,5,"-"
SHIGAN,SM,Shigan Quantum Technologies Limited,5,"-"
SHIVAUM,ST,Shiv Aum Steels Limited,5,"-"
SHREEKARNI,ST,Shree Karni Fabcom Limited,5,"-"
SHUBHLAXMI,SM,Shubhlaxmi Jewel Art Limited,5,"-"
SIDDHIKA,SM,Siddhika Coatings Limited,5,"-"
SJLOGISTIC,SM,S J Logistics (India) Limited,5,"-"
SLONE,ST,Slone Infosystems Limited,5,"-"
SMVD,SM,SMVD Poly Pack Limited,5,"-"
SONUINFRA,ST,Sonu Infratech Limited,5,"-"
SOTAC,ST,Sotac Pharmaceuticals Limited,5,"-"
SPECTRUM,SM,Spectrum Electrical Industries Limited,5,"-"
SPRL,ST,Sp Refractories Limited,5,"-"
