Symbol,Series,Name,Band,Remarks
TRANSWIND,SM,Transwind Infrastructures Limited,5,"-"
TRUST,SM,Trust Fintech Limited,5,"-"
URBAN,SM,Urban Enviro Waste Management Limited,5,"-"
UWCSL,SM,Ultra Wiring Connectivity System Limited,5,"-"
VASA,SM,Vasa Retail and Overseas Ltd,5,"-"
VEEKAYEM,SM,Veekayem Fashion And Apparels Limited,5,"-"
VELS,SM,Vels Film International Limited,5,"-"
VERITAAS,SM,Veritaas Advertising Limited,5,"-"
VERTEXPLUS,ST,Vertexplus Technologies Limited,5,"-"
VIAZ,SM,Viaz Tyres Limited,5,"-"
VINYAS,SM,Vinyas Innovative Technologies Limited,5,"-"
VISHNUINFR,SM,Vishnusurya Projects and Infra Limited,5,"-"
VIVIANA,SM,Viviana Power Tech Limited,5,"-"
VIVO,SM,Vivo Collaboration Solutions Limited,5,"-"
VMARCIND,SM,V Marc India Limited,5,"-"
VSCL,ST,Vadivarhe Speciality Chemicals Limited,5,"-"
WALPAR,SM,Walpar Nutritions Limited,5,"-"
WOMANCART,SM,Womancart Limited,5,"-"
YUDIZ,ST,Yudiz Solutions Limited,5,"-"
ZTECH,SM,Z-Tech (India) Limited,5,"-"
3RDROCK,IT,3rd Rock Multimedia Limited,10,"-"
AATMAJ,SM,Aatmaj Healthcare Limited,10,"-"
ABINFRA,SM,A B Infrabuild Limited,10,"-"
ABSMARINE,SM,ABS Marine Services Limited,10,"-"
AKANKSHA,SM,Akanksha Power and Infrastructure Limited,10,"-"
ANLON,SM,Anlon Technology Solutions Limited,10,"-"
AVPINFRA,SM,AVP Infracon Limited,10,"-"
BASILIC,SM,Basilic Fly Studio Limited,10,"-"
BDR,IT,BDR Buildcon Limited,10,"-"
CMNL,SM,Chaman Metallics Limited,10,"-"
CRAYONS,SM,Crayons Advertising Limited,10,"-"
DCG,SM,DCG Cables & Wires Limited,10,"-"
DELAPLEX,SM,Delaplex Limited,10,"-"
DRL,SM,Dhanuka Realty Limited,10,"-"
DUGLOBAL,SM,DUDIGITAL GLOBAL LIMITED,10,"-"
ENFUSE,SM,Enfuse Solutions Limited,10,"-"
GIRRESORTS,IT,GIR Natureview Resorts Limited,10,"-"
GSTL,SM,Globesecure Technologies Limited,10,"-"
HRHNEXT,SM,HRH Next Services Limited,10,"-"
IEML,SM,Indian Emulsifiers Limited,10,"-"
JALAN,SM,Jalan Transolutions (India) Limited,10,"-"
JETKNIT,SM,Jet Knitwears Limited,10,"-"
JFLLIFE,SM,Jfl Life Sciences Limited,10,"-"
KARNIKA,SM,Karnika Industries Limited,10,"-"
KORE,SM,Jay Jalaram Technologies Limited,10,"-"
LEMERITE,SM,Le Merite Exports Limited,10,"-"
MDL,SM,Marvel Decor Limited,10,"-"
MOXSH,SM,Moxsh Overseas Educon Limited,10,"-"
NAMAN,SM,Naman In-Store (India) Limited,10,"-"
NPST,SM,Network People Services Technologies Limited,10,"-"
OLIL,SM,Oneclick Logistics India Limited,10,"-"
OMFURN,SM,Omfurn India Limited,10,"-"
PRLIND,SM,Premier Roadlines Limited,10,"-"
QUESTLAB,SM,Quest Laboratories Limited,10,"-"
RBMINFRA,SM,Rbm Infracon Limited,10,"-"
RMDRIP,SM,R M Drip and Sprinklers Systems Limited,10,"-"
ROCKINGDCE,SM,Rockingdeals Circular Economy Limited,10,"-"
SAAKSHI,SM,Saakshi Medtech and Panels Limited,10,"-"
SEL,SM,Sungarner Energies Limited,10,"-"
SLONE,SM,Slone Infosystems Limited,10,"-"
SONAMAC,SM,Sona Machinery Limited,10,"-"
SPECTSTM,SM,Spectrum Talent Management Limited,10,"-"
SURANI,SM,Surani Steel Tubes Limited,10,"-"
TCL,SM,Thaai Casting Limited,10,"-"
VERA,SM,Vera Synthetic Limited,10,"-"
VILAS,SM,Vilas Transcore Limited,10,"-"
WINSOL,SM,Winsol Engineers Limited,10,"-"
ABNINT,IT,A B N Intercorp Limited,20,"-"
ACCENTMIC,SM,Accent Microcell Limited,20,"-"
ACSAL,SM,Arvind and Company Shipping Agencies Limited,20,"-"
ALLETEC,SM,All E Technologies Limited,20,"-"
AMIABLE,SM,Amiable Logistics (India) Limited,20,"-"
ANNAPURNA,SM,Annapurna Swadisht Limited,20,"-"
ARABIAN,SM,Arabian Petroleum Limited,20,"-"
ARIHANTACA,SM,Arihant Academy Limited,20,"-"
ARISTO,SM,Aristo Bio-Tech And Lifescience Limited,20,"-"
ASPIRE,SM,Aspire & Innovative Advertising Limited,20,"-"
AURDIS,SM,Aurangabad Distillery Limited,20,"-"
AUROIMPEX,SM,Auro Impex & Chemicals Limited,20,"-"
BABAFP,SM,Baba Food Processing (India) Limited,20,"-"
BAWEJA,SM,Baweja Studios Limited,20,"-"
BEACON,SM,Beacon Trusteeship Limited,20,"-"
BETA,SM,Beta Drugs Limited,20,"-"
BEWLTD,SM,BEW Engineering Limited,20,"-"
BHALCHANDR,IT,Bhalchandram Clothing Limited,20,"-"
BIRDYS,SM,Grill Splendour Services Limited,20,"-"
CANARYS,SM,Canarys Automations Limited,20,"-"
CBAZAAR,SM,Net Avenue Technologies Limited,20,"-"
CELLPOINT,SM,Cell Point (India) Limited,20,"-"
CHAVDA,SM,Chavda Infra Limited,20,"-"
CLSL,SM,Crop Life Science Limited,20,"-"
COMMITTED,SM,Committed Cargo Care Limited,20,"-"
COOLCAPS,SM,Cool Caps Industries Limited,20,"-"
DEEM,SM,Deem Roll Tech Limited,20,"-"
DENEERS,SM,De Neers Tools Limited,20,"-"
DENTALKART,SM,Vasa Denticity Limited,20,"-"
DIGIKORE,SM,Digikore Studios Limited,20,"-"
DKEGL,SM,D.K. Enterprises Global Limited,20,"-"
DOLLEX,SM,Dollex Agrotech Limited,20,"-"
DRSDILIP,SM,DRS Dilip Roadlines Limited,20,"-"
DUCOL,SM,Ducol Organics And Colours Limited,20,"-"
DURLAX,SM,Durlax Top Surface Limited,20,"-"
EFACTOR,SM,E Factor Experiences Limited,20,"-"
EFORCE,SM,Electro Force (India) Limited,20,"-"
EMKAYTOOLS,SM,Emkay Taps and Cutting Tools Limited,20,"-"
EMMIL,SM,Energy Mission Machineries (India) Limited,20,"-"
ESFL,SM,Essen Speciality Films Limited,20,"-"
EUROBOND,SM,Euro Panel Products Limited,20,"-"
FALCONTECH,SM,Falcon Technoprojects India Limited,20,"-"
FIDEL,SM,Fidel Softech Limited,20,"-"
FOCE,SM,Foce India Limited,20,"-"
FONEBOX,SM,Fonebox Retail Limited,20,"-"
GLOBALPET,SM,Global Pet Industries Limited,20,"-"
GOLDSTAR,SM,Goldstar Power Limited,20,"-"
GOYALSALT,SM,Goyal Salt Limited,20,"-"
GPECO,SM,GP Eco Solutions India Limited,20,"-"
GREENCHEF,SM,Greenchef Appliances Limited,20,"-"
HIGREEN,SM,Hi-Green Carbon Limited,20,"-"
HOACFOODS,SM,Hoac Foods India Limited,20,"-"
HOLMARC,SM,Holmarc Opto-Mechatronics Limited,20,"-"
IBLFL,SM,IBL Finance Limited,20,"-"
INDIFRA,SM,Indifra Limited,20,"-"
INFINIUM,SM,Infinium Pharmachem Limited,20,"-"
INFOLLION,SM,INFOLLION RESEARCH SERVICES LIMITED,20,"-"
INM,SM,Interiors & More Limited,20,"-"
INNOVANA,SM,Innovana Thinklabs Limited,20,"-"
IPSL,SM,Integrated Personnel Services Limited,20,"-"
ITALIANE,SM,Italian Edibles Limited,20,"-"
JIWANRAM,SM,Jiwanram Sheoduttrai Industries Limited,20,"-"
KANDARP,SM,Kandarp Digi Smart Bpo Limited,20,"-"
KEL,SM,Kundan Edifice Limited,20,"-"
KHFM,SM,Khfm Hospitality And Facility Management Services Limited,20,"-"
KLL,SM,Kaushalya Logistics Limited,20,"-"
KOTYARK,SM,Kotyark Industries Limited,20,"-"
KTL,SM,Kalahridhaan Trendz Limited,20,"-"
LAWSIKHO,SM,Addictive Learning Technology Limited,20,"-"
MADHAVBAUG,SM,Vaidya Sane Ayurved Laboratories Limited,20,"-"
MADHUSUDAN,SM,Madhusudan Masala Limited,20,"-"
MAGSON,SM,Magson Retail And Distribution Limited,20,"-"
MAHICKRA,SM,Mahickra Chemicals Limited,20,"-"
MAL,SM,Mangalam Alloys Limited,20,"-"
MANDEEP,SM,Mandeep Auto Industries Limited,20,"-"
MARCO,SM,Marco Cables & Conductors Limited,20,"-"
MARINETRAN,SM,Marinetrans India Limited,20,"-"
MASON,SM,MASON INFRATECH LIMITED,20,"-"
MAXPOSURE,SM,Maxposure Limited,20,"-"
MEDIORG,SM,Medicamen Organics Limited,20,"-"
MEGATHERM,SM,Megatherm Induction Limited,20,"-"
MHHL,SM,Mohini Health & Hygiene Limited,20,"-"
MICROPRO,SM,Micropro Software Solutions Limited,20,"-"
MOS,SM,Mos Utility Limited,20,"-"
MVKAGRO,SM,M.V.K. Agro Food Product Limited,20,"-"
MWL,SM,Mangalam Worldwide Limited,20,"-"
NEWJAISA,SM,Newjaisa Technologies Limited,20,"-"
NIDAN,SM,Nidan Laboratories And Healthcare Limited,20,"-"
PARAGON,SM,Paragon Fine and Speciality Chemical Limited,20,"-"
PARTYCRUS,SM,Party Cruisers Limited,20,"-"
PENTAGON,SM,Pentagon Rubber Limited,20,"-"
PHANTOMFX,SM,Phantom Digital Effects Limited,20,"-"
PLADAINFO,SM,Plada Infotech Services Limited,20,"-"
POLYSIL,SM,Polysil Irrigation Systems Limited,20,"-"
PRECISION,SM,Precision Metaliks Limited,20,"-"
PRESSTONIC,SM,Presstonic Engineering Limited,20,"-"
PROPEQUITY,SM,P. E. Analytics Limited,20,"-"
PROV,SM,Proventus Agrocom Limited,20,"-"
PURVFLEXI,SM,Purv Flexipack Limited,20,"-"
QMSMEDI,SM,Qms Medical Allied Services Limited,20,"-"
QUICKTOUCH,SM,Quicktouch Technologies Limited,20,"-"
RADIOWALLA,SM,Radiowalla Network Limited,20,"-"
RBS,SM,Ramdevbaba Solvent Limited,20,"-"
RCDL,SM,Rajgor Castor Derivatives Limited,20,"-"
REMUS,SM,Remus Pharmaceuticals Limited,20,"-"
RITEZONE,SM,Rite Zone Chemcon India Limited,20,"-"
ROXHITECH,SM,Rox Hi Tech Limited,20,"-"
RULKA,SM,Rulka Electricals Limited,20,"-"
SADHAV,SM,Sadhav Shipping Limited,20,"-"
SAHAJ,SM,Sahaj Fashions Limited,20,"-"
SAIFL,SM,Sameera Agro And Infra Limited,20,"-"
SANGANI,SM,Sangani Hospitals Limited,20,"-"
SAROJA,SM,Saroja Pharma Industries India Limited,20,"-"
SCML,SM,Sharp Chucks and Machines Limited,20,"-"
SERVICE,SM,Service Care Limited,20,"-"
SHANTHALA,SM,Shanthala FMCG Products Limited,20,"-"
SHERA,SM,Shera Energy Limited,20,"-"
SHREEOSFM,SM,Shree OSFM E-Mobility Limited,20,"-"
SHRITECH,SM,Shri Techtex Limited,20,"-"
SIGNORIA,SM,Signoria Creation Limited,20,"-"
SILKFLEX,SM,Silkflex Polymers (India) Limited,20,"-"
SKP,SM,Skp Bearing Industries Limited,20,"-"
SOTAC,SM,Sotac Pharmaceuticals Limited,20,"-"
SPCL,SM,SHIVALIC POWER CONTROL LIMITED,20,"-"
SRIVASAVI,SM,Srivasavi Adhesive Tapes Limited,20,"-"
SUNREST,SM,Sunrest Lifescience Limited,20,"-"
SUPREMEPWR,SM,Supreme Power Equipment Limited,20,"-"
SWASTIK,SM,Swastik Pipe Limited,20,"-"
SYLVANPLY,SM,SYLVAN PLYBOARD (INDIA) LIMITED,20,"-"
SYNOPTICS,SM,Synoptics Technologies Limited,20,"-"
SYSTANGO,SM,Systango Technologies Limited,20,"-"
TRANSTEEL,SM,Transteel Seating Technologies Limited,20,"-"
TRIDHYA,SM,Tridhya Tech Limited,20,"-"
UCL,SM,Ushanti Colour Chem Limited,20,"-"
UMA,SM,Uma Converter Limited,20,"-"
UNIHEALTH,SM,Unihealth Consultancy Limited,20,"-"
USASEEDS,SM,Upsurge Seeds Of Agriculture Limited,20,"-"
VILINBIO,SM,Vilin Bio Med Limited,20,"-"
VINSYS,SM,Vinsys It Services India Limited,20,"-"
VISAMAN,SM,VISAMAN GLOBAL SALES LIMITED,20,"-"
VISHWAS,SM,Vishwas Agri Seeds Limited,20,"-"
VITAL,SM,Vital Chemtech Limited,20,"-"
VR,SM,V R Infraspace Limited,20,"-"
WINNY,SM,Winny Immigration & Education Services Limited,20,"-"
WTICAB,SM,Wise Travel India Limited,20,"-"
YASHOPTICS,SM,Yash Optics & Lens Limited,20,"-"
YCCL,SM,Yasons Chemex Care Limited,20,"-"
ZEAL,SM,Zeal Global Services Limited,20,"-"
ZENITHDRUG,SM,Zenith Drugs Limited,20,"-"
SARTE-RE,ST,SAR TELEVENTURE LIMITED - RIGHTS ENTITLEMENT,40,"-"
